id,tipo_vivienda,metros_cuadrados,habitaciones,baños,antiguedad_vivienda,aislamiento,eficiencia_construccion,paneles_solares,cantidad_personas,trabajo_remoto,horas_en_casa,ingreso_mensual,aires_acondicionados,heladeras,televisores,computadoras,lavadoras,secadoras,cantidad_equipos,calefaccion,tipo_calefaccion,tipo_iluminacion,electrodomesticos_eficientes,factor_estacional,temperatura_media,consumo_kwh,uso_horario_pico,horas_alto_consumo,categoria
1,Departamento,90.1,2,2,29.0,Poor,B,False,2,False,8.0,1320.89,0,1,0,0,1,0,2,True,Eléctrica,Mixta,74.2,Otoño,22.9,173.68,True,17,Moderate
2,Departamento,88.3,1,1,37.0,Good,C,False,3,False,14.8,1661.13,1,2,2,2,1,0,8,True,Gas,Incandescente,73.6,Verano,26.9,583.18,True,16,Moderate
3,Pequeño Comercio,177.7,6,3,26.0,Excellent,C,False,7,False,8.0,2725.46,4,2,6,6,0,0,18,True,Eléctrica,Mixta,66.2,Primavera,20.7,494.45,True,19,Efficient
4,Casa,138.6,4,2,5.0,Good,A,True,1,True,17.6,2598.16,2,1,1,1,1,0,6,True,Eléctrica,LED,71.4,Otoño,19.3,109.56,True,20,Efficient
5,Departamento,57.7,1,1,16.0,Good,B,False,1,True,13.9,1033.34,1,1,1,3,1,0,7,True,Eléctrica,LED,75.4,Invierno,7.9,380.47,True,18,Moderate
6,Departamento,88.5,3,1,21.0,Poor,D,False,1,False,11.0,1330.21,2,1,1,0,1,1,6,True,Eléctrica,Mixta,83.6,Primavera,25.7,243.47,True,17,Inefficient
7,Departamento,70.5,1,1,57.0,Poor,E,False,1,False,12.7,709.62,0,1,1,0,1,0,3,False,Ninguna,Incandescente,71.2,Primavera,22.8,268.0,True,18,Inefficient
8,Departamento,62.1,1,1,45.0,Good,E,False,2,True,21.2,917.84,0,1,3,3,1,0,8,True,Gas,Mixta,60.3,Primavera,25.7,575.19,True,21,Inefficient
9,Casa,166.8,5,5,20.0,Good,D,False,5,False,20.3,3889.14,4,1,3,1,1,0,10,True,Eléctrica,LED,79.7,Primavera,21.9,709.22,True,17,Efficient
10,Casa,92.3,2,3,21.0,Poor,A,False,1,True,20.0,723.84,0,1,2,3,1,0,7,False,Ninguna,Mixta,63.6,Verano,30.8,521.22,True,18,Inefficient
11,Departamento,96.5,2,2,41.0,Average,E,False,3,False,9.9,497.6,0,1,6,7,1,0,15,True,Gas,LED,50.1,Verano,26.8,258.48,True,18,Moderate
12,Departamento,56.0,2,1,17.0,Average,B,False,4,True,19.3,549.18,0,1,5,1,1,0,8,True,Eléctrica,Mixta,71.3,Invierno,11.6,792.95,True,19,Moderate
13,Pequeño Comercio,69.4,4,2,45.0,Excellent,D,False,7,False,14.5,1161.27,1,3,8,7,0,0,19,True,Gas,LED,54.3,Primavera,12.0,420.55,True,20,Efficient
14,Casa,69.0,1,1,35.0,Excellent,D,True,4,False,8.9,1330.21,1,1,1,1,1,0,5,True,Gas,LED,60.0,Primavera,16.2,103.39,True,20,Efficient
15,Casa,123.0,2,1,28.0,Good,B,False,3,False,15.7,3400.11,2,1,1,3,1,1,9,True,Eléctrica,Mixta,44.8,Otoño,16.8,546.1,True,19,Efficient
16,Departamento,60.2,1,1,8.0,Good,B,False,1,False,11.9,520.7,2,1,0,0,1,0,4,True,Eléctrica,Mixta,65.1,Verano,35.0,411.94,True,16,Moderate
17,Departamento,101.9,3,1,43.0,Poor,E,False,2,False,11.7,1400.4,0,1,3,1,1,0,6,False,Ninguna,LED,70.2,Verano,29.5,212.74,True,21,Moderate
18,Departamento,57.9,3,5,45.0,Average,E,False,3,False,13.5,2462.48,4,1,1,1,1,0,8,True,Gas,LED,38.5,Otoño,13.7,292.4,True,21,Moderate
19,Departamento,52.6,1,3,38.0,Good,C,False,2,False,14.8,287.37,1,1,2,0,1,0,5,False,Ninguna,Mixta,62.2,Verano,28.3,532.73,True,16,Moderate
20,Departamento,56.9,1,2,47.0,Excellent,A,False,1,False,8.5,1462.06,1,1,0,2,1,0,5,True,Gas,Mixta,56.7,Otoño,20.4,201.37,True,18,Efficient
21,Departamento,45.6,2,3,54.0,Average,E,False,1,True,16.1,964.52,1,2,2,4,1,0,10,True,Gas,Mixta,66.6,Otoño,21.3,469.55,True,22,Inefficient
22,Departamento,61.5,2,3,30.0,Poor,E,False,1,True,22.4,1245.1,1,2,0,2,1,0,6,True,Eléctrica,Mixta,58.4,Otoño,14.8,412.89,True,21,Inefficient
23,Casa,199.6,4,4,16.0,Good,C,False,3,True,20.1,3118.31,1,1,0,5,1,0,8,True,Eléctrica,Incandescente,63.3,Otoño,18.4,1033.89,True,17,Inefficient
24,Departamento,69.7,4,4,30.0,Poor,D,False,1,True,21.2,1317.57,0,1,1,2,1,0,5,True,Eléctrica,Mixta,71.7,Primavera,20.1,260.01,True,19,Inefficient
25,Departamento,59.2,1,1,27.0,Good,C,False,3,False,8.6,2062.98,2,2,3,2,1,1,11,False,Ninguna,LED,78.4,Verano,24.1,366.86,True,19,Efficient
26,Casa,140.5,2,2,41.0,Average,A,False,4,False,12.6,2158.5,2,2,2,2,1,0,9,True,Gas,LED,77.4,Primavera,18.8,317.82,True,16,Efficient
27,Departamento,107.6,2,1,35.0,Excellent,E,False,2,False,16.0,652.42,0,1,1,1,1,0,4,True,Gas,Mixta,56.6,Otoño,15.0,375.07,True,18,Moderate
28,Casa,119.2,1,1,24.0,Excellent,A,False,1,True,13.9,696.77,1,1,0,1,1,0,4,True,Eléctrica,Mixta,72.8,Primavera,16.6,436.03,True,20,Efficient
29,Casa,381.4,7,3,24.0,Poor,C,False,5,False,8.3,13892.3,3,2,8,5,1,0,19,False,Ninguna,Incandescente,86.3,Primavera,16.8,680.23,True,15,Moderate
30,Departamento,100.7,7,4,19.0,Excellent,B,False,7,True,16.3,1121.45,0,2,6,5,1,0,14,True,Eléctrica,LED,95.9,Otoño,16.8,455.0,True,18,Efficient
31,Casa,89.7,1,1,48.0,Average,B,False,2,False,15.8,2823.35,2,1,2,0,1,1,7,True,Gas,Mixta,65.0,Invierno,6.5,441.13,True,19,Moderate
32,Pequeño Comercio,62.1,1,1,19.0,Good,B,False,5,False,13.9,583.91,1,3,4,4,0,0,12,True,Eléctrica,LED,72.6,Otoño,13.5,339.26,True,17,Efficient
33,Casa,136.8,2,2,10.0,Excellent,C,True,2,False,11.4,1932.91,1,1,2,0,1,0,5,True,Eléctrica,LED,62.9,Verano,28.1,2109.3999889798924,True,20,Efficient
34,Departamento,97.8,4,5,35.0,Excellent,E,False,2,False,15.4,633.15,0,1,5,4,1,0,11,True,Gas,LED,85.4,Invierno,7.1,310.4,True,18,Efficient
35,Casa,145.8,4,4,16.0,Good,A,False,7,True,20.7,2733.23,3,1,9,1,1,1,16,True,Eléctrica,Mixta,65.9,Invierno,7.7,1023.36,True,16,Efficient
36,Casa,103.7,1,1,28.0,Poor,B,False,4,False,8.8,526.16,1,2,1,0,1,0,5,True,Eléctrica,Mixta,87.7,Verano,27.6,469.9,True,15,Moderate
37,Departamento,45.2,1,1,36.0,Excellent,D,False,1,False,12.7,644.79,0,1,1,2,1,1,6,True,Gas,Mixta,57.9,Verano,24.9,227.56,True,19,Moderate
38,Departamento,97.6,3,1,66.0,Average,E,False,2,False,10.4,1445.67,0,1,2,1,1,0,5,True,Gas,Incandescente,41.0,Otoño,11.7,377.46,True,23,Inefficient
39,Departamento,71.0,4,2,24.0,Excellent,E,False,3,False,13.6,1062.39,1,1,1,4,1,0,8,False,Ninguna,Mixta,78.6,Otoño,13.7,373.77,True,18,Moderate
40,Departamento,51.1,2,1,31.0,Good,E,False,7,False,10.6,413.0,0,1,7,5,1,0,14,True,Gas,Incandescente,64.1,Otoño,9.7,614.28,True,18,Moderate
41,Departamento,86.1,5,5,75.0,Average,A,False,7,True,22.1,1592.15,0,2,9,7,1,0,19,True,Gas,Mixta,57.7,Primavera,17.0,1174.77,True,20,Moderate
42,Casa,118.7,5,1,27.0,Poor,C,False,3,False,18.9,1159.6,0,2,2,1,1,0,6,True,Eléctrica,LED,58.9,Invierno,9.3,693.2,True,23,Moderate
43,Pequeño Comercio,201.1,4,2,32.0,Good,B,False,5,False,12.2,2932.08,3,3,2,10,0,0,18,True,Gas,LED,84.7,Otoño,13.4,462.83,True,20,Efficient
44,Pequeño Comercio,107.7,2,1,19.0,Good,A,False,4,False,13.9,1953.02,1,2,5,9,0,0,17,True,Eléctrica,Mixta,54.2,Primavera,19.1,622.3,True,17,Moderate
45,Departamento,70.3,2,1,36.0,Poor,C,False,4,False,13.7,946.12,0,1,3,1,1,0,6,True,Gas,LED,66.7,Invierno,11.3,300.72,True,17,Moderate
46,Casa,226.3,4,2,49.0,Poor,E,False,5,False,9.9,6946.91,1,2,4,4,1,1,13,False,Ninguna,Mixta,49.9,Verano,27.3,691.42,True,18,Inefficient
47,Pequeño Comercio,117.1,1,1,22.0,Good,B,False,1,False,18.6,810.36,1,2,1,1,0,0,5,False,Ninguna,LED,69.6,Otoño,12.8,396.06,True,18,Moderate
48,Casa,150.8,4,2,17.0,Good,D,False,4,True,23.0,1727.31,3,2,1,4,1,0,11,True,Eléctrica,Mixta,74.2,Primavera,20.2,753.14,True,20,Moderate
49,Casa,210.0,3,2,44.0,Excellent,E,False,4,True,23.1,9023.66,5,1,5,3,1,0,15,True,Gas,Mixta,68.9,Invierno,3.7,1037.71,True,19,Moderate
50,Casa,174.7,8,5,15.0,Good,C,True,7,False,12.2,946.06,2,1,8,7,1,0,19,True,Eléctrica,LED,70.8,Verano,30.0,268.82,True,19,Efficient
51,Departamento,69.8,1,1,9.0,Excellent,B,False,1,False,13.4,921.2,0,1,1,1,1,0,4,False,Ninguna,LED,75.2,Invierno,3.2,192.13,True,20,Efficient
52,Pequeño Comercio,126.2,5,4,50.0,Poor,C,False,7,False,14.7,3067.09,0,3,3,7,0,1,14,True,Gas,LED,66.7,Verano,27.9,720.37,True,19,Moderate
53,Pequeño Comercio,30.0,1,1,10.0,Excellent,C,False,1,False,8.4,451.35,0,2,0,1,0,0,3,True,Eléctrica,LED,77.8,Primavera,22.7,69.65,True,18,Efficient
54,Casa,83.3,2,2,10.0,Excellent,B,False,2,False,13.9,799.01,2,1,3,1,1,1,9,False,Ninguna,LED,69.6,Invierno,2.3,335.37,True,18,Efficient
55,Pequeño Comercio,58.7,1,2,12.0,Average,C,False,1,False,12.0,710.1,0,2,0,2,0,0,4,True,Eléctrica,LED,74.9,Primavera,21.8,166.35,True,19,Moderate
56,Casa,920.7906666251148,4,2,61.0,Excellent,E,False,6,False,8.0,2068.57,3,1,1,7,1,1,14,True,Gas,LED,64.2,Otoño,14.5,284.41,True,21,Efficient
57,Casa,193.0,7,1,8.0,Good,D,False,5,False,8.8,3123.62,2,1,5,4,1,0,13,True,Eléctrica,LED,81.6,Primavera,23.8,339.2,True,19,Moderate
58,Departamento,45.9,1,1,35.0,Poor,A,False,1,False,11.3,639.35,4,1,0,1,1,0,7,True,Gas,Mixta,66.1,Invierno,11.3,187.83,True,14,Moderate
59,Departamento,56.1,2,1,38.0,Poor,E,False,5,True,18.7,1342.08,3,2,2,7,1,0,15,True,Gas,LED,77.4,Invierno,9.4,413.32,True,16,Inefficient
60,Casa,107.7,7,5,57.0,Average,E,False,2,True,20.2,893.82,2,2,1,3,1,0,9,False,Ninguna,LED,45.5,Primavera,24.0,498.54,True,22,Inefficient
61,Casa,241.1,4,2,25.0,Good,C,False,5,False,13.7,1330.21,3,2,4,4,1,1,15,True,Losa Radiante,Incandescente,90.2,Verano,23.5,1028.43,True,19,Moderate
62,Casa,129.0,7,5,76.0,Poor,E,True,6,True,19.6,1318.41,0,1,2,5,1,0,9,True,Gas,Mixta,35.5,Primavera,21.0,611.07,True,17,Moderate
63,Casa,164.4,5,2,21.0,Good,E,False,4,False,9.4,1183.76,1,2,5,2,1,0,11,False,Ninguna,Incandescente,76.0,Otoño,10.7,485.5,True,18,Moderate
64,Departamento,54.6,2,3,33.0,Good,A,False,1,True,24.0,932.5,2,1,0,1,1,0,5,True,Gas,Mixta,54.5,Otoño,10.7,335.32,True,17,Moderate
65,Departamento,78.7,4,2,23.0,Excellent,E,False,4,False,14.9,2850.5,0,1,5,3,1,0,10,True,Eléctrica,Mixta,72.2,Otoño,12.3,647.26,True,22,Moderate
66,Casa,127.5,2,3,70.0,Average,C,False,1,True,21.4,2296.0,0,1,2,1,1,0,5,True,Gas,LED,47.0,Verano,31.4,391.68,True,19,Moderate
67,Casa,243.6,8,5,13.0,Average,E,False,8,False,16.4,1914.71,3,2,10,8,1,0,24,True,Eléctrica,Incandescente,90.2,Otoño,20.5,1489.38,True,16,Inefficient
68,Casa,123.8,2,2,22.0,Poor,D,False,2,False,8.8,3504.85,1,1,2,2,1,1,8,True,Eléctrica,Mixta,77.0,Otoño,12.6,260.26,True,19,Moderate
69,Casa,107.3,6,1,29.0,Good,E,True,5,False,9.8,2129.77,1,2,2,9,1,1,16,True,Eléctrica,LED,66.1,Otoño,13.2,163.7,True,20,Efficient
70,Pequeño Comercio,93.9,4,4,14.0,Good,A,False,3,False,13.9,759.2,0,2,1,1,0,0,4,False,Ninguna,LED,76.3,Primavera,18.2,313.39,True,21,Efficient
71,Departamento,45.8,2,1,34.0,Excellent,C,False,1,False,9.6,810.44,0,1,2,0,1,0,4,True,Gas,LED,71.5,Primavera,19.3,103.59,True,20,Efficient
72,Casa,216.9,7,5,2.0,Excellent,E,False,4,False,13.9,3179.47,5,1,2,3,1,1,13,True,Eléctrica,LED,90.3,Otoño,16.5,338.91,True,16,Efficient
73,Departamento,57.3,2,2,19.0,Poor,A,False,2,False,16.2,1096.72,0,1,0,1,1,0,3,True,Eléctrica,Mixta,75.6,Primavera,20.2,343.74,True,20,Moderate
74,Pequeño Comercio,77.5,2,1,19.0,Good,D,False,1,False,9.7,3216.61,1,2,0,1,0,0,4,True,Eléctrica,LED,72.6,Verano,25.2,141.91,True,19,Efficient
75,Casa,134.6,6,5,16.0,Poor,C,True,3,False,8.0,2714.47,1,1,1,3,1,1,8,True,Eléctrica,LED,66.7,Invierno,11.3,185.51,True,20,Moderate
76,Departamento,77.2,4,3,15.0,Excellent,C,False,1,True,23.6,1602.54,0,2,3,2,1,0,8,True,Eléctrica,Mixta,58.5,Invierno,4.9,904.58,True,14,Inefficient
77,Departamento,40.1,1,3,55.0,Poor,A,False,3,False,18.8,515.32,0,1,1,3,1,0,6,True,Gas,Mixta,62.5,Primavera,17.2,496.51,True,21,Moderate
78,Departamento,43.4,1,1,24.0,Excellent,E,False,1,True,16.6,815.01,1,1,0,2,1,0,5,True,Eléctrica,Mixta,66.2,Otoño,16.2,262.94,True,17,Moderate
79,Casa,60.6,2,3,51.0,Excellent,C,False,6,False,10.1,1330.21,0,1,8,3,1,0,13,False,Ninguna,Mixta,64.4,Verano,27.8,359.25,True,18,Efficient
80,Casa,97.9,6,2,39.0,Poor,D,False,3,False,8.7,1569.49,1,2,5,0,1,0,9,False,Ninguna,LED,66.7,Invierno,11.2,248.93,True,18,Inefficient
81,Departamento,79.9,1,1,52.0,Good,E,False,1,True,19.5,1330.21,0,1,2,3,1,0,7,False,Ninguna,Incandescente,63.7,Invierno,8.5,699.47,True,21,Inefficient
82,Casa,127.8,4,1,50.0,Good,E,False,3,True,20.5,627.09,1,2,1,3,1,0,8,False,Ninguna,LED,68.6,Verano,34.1,516.99,True,19,Moderate
83,Casa,93.4,4,1,36.0,Poor,B,False,6,True,15.3,1931.69,1,2,5,7,1,1,17,True,Gas,Incandescente,78.4,Invierno,7.7,987.05,True,19,Moderate
84,Casa,121.5,3,1,17.0,Excellent,A,False,1,False,11.6,2150.79,1,1,1,0,1,0,4,False,Ninguna,Mixta,61.0,Primavera,23.5,191.72,True,22,Efficient
85,Departamento,54.6,1,1,28.0,Good,A,False,1,False,8.0,614.26,1,1,1,2,1,0,6,False,Ninguna,Mixta,76.3,Verano,26.6,225.98,True,19,Efficient
86,Departamento,58.3,3,2,27.0,Poor,A,False,5,False,12.6,702.36,1,2,3,6,1,0,13,True,Eléctrica,Mixta,73.8,Otoño,17.8,434.4,True,21,Moderate
87,Departamento,72.2,4,1,30.0,Poor,C,False,2,True,21.4,2081.59,0,1,5,2,1,0,9,True,Eléctrica,Incandescente,50.2,Invierno,10.3,824.81,True,19,Inefficient
88,Casa,121.8,4,2,47.0,Poor,A,False,4,False,11.5,1390.82,0,1,6,3,1,0,11,False,Ninguna,Mixta,30.2,Otoño,17.3,559.33,True,18,Moderate
89,Pequeño Comercio,65.5,1,1,15.0,Good,E,False,1,False,18.0,1341.77,1,2,0,2,0,0,5,True,Eléctrica,Incandescente,78.1,Primavera,23.6,529.18,True,20,Inefficient
