consumo_kwh,uso_horario_pico,cantidad_equipos,tipo_inmueble,horas_alto_consumo,categoria
1538.83,True,9,Casa,13.5,Ineficiente
429.0,False,7,Casa,4.8,Moderado
184.83,False,5,Departamento,3.4,Eficiente
834.58,True,12,Casa,10.7,Ineficiente
239.08,False,7,Casa,3.5,Eficiente
532.25,False,8,Casa,5.7,Moderado
985.08,True,9,Casa,10.8,Ineficiente
1910.67,True,6,Casa,15.3,Ineficiente
760.83,True,5,Casa,6.1,Moderado
622.83,False,6,Casa,6.5,Moderado
229.17,True,4,Departamento,2.3,Eficiente
983.92,True,10,Casa,9.1,Ineficiente
814.58,False,11,Casa,9.0,Ineficiente
527.92,False,5,Departamento,3.1,Eficiente
335.92,False,4,Departamento,1.7,Eficiente
1085.0,False,10,Casa,9.7,Ineficiente
173.25,False,4,Casa,1.3,Eficiente
206.42,False,5,Departamento,3.2,Eficiente
573.08,False,6,Casa,4.7,Moderado
1041.42,True,7,Casa,7.6,Ineficiente
1016.67,False,11,Casa,11.5,Ineficiente
765.58,True,8,Casa,7.3,Moderado
1165.33,True,8,Casa,10.2,Ineficiente
367.75,True,5,Casa,2.5,Moderado
1586.75,True,10,Casa,13.0,Ineficiente
260.42,True,8,Departamento,4.2,Moderado
974.0,False,9,Departamento,8.0,Moderado
180.83,False,5,Casa,3.1,Eficiente
203.92,True,4,Casa,2.0,Eficiente
1094.75,True,6,Casa,8.8,Ineficiente
917.42,True,10,Casa,8.5,Ineficiente
577.08,False,7,Casa,7.8,Moderado
2707.75,True,6,Casa,16.0,Ineficiente
268.5,False,6,Casa,2.5,Eficiente
1687.5,True,7,Casa,14.2,Ineficiente
1662.5,True,7,Casa,12.0,Ineficiente
3080.58,True,14,Casa,16.0,Ineficiente
619.58,False,9,Casa,4.9,Moderado
2664.42,True,9,Casa,16.0,Ineficiente
1951.17,True,8,Departamento,15.6,Ineficiente
845.25,False,11,Casa,9.7,Ineficiente
1268.25,True,11,Casa,11.9,Ineficiente
1052.83,True,8,Departamento,9.3,Ineficiente
401.5,False,6,Departamento,4.2,Moderado
702.42,False,6,Casa,5.0,Moderado
236.67,False,8,Casa,3.3,Eficiente
364.08,False,5,Departamento,3.5,Eficiente
1839.17,True,5,Casa,14.8,Ineficiente
1209.75,True,8,Casa,10.8,Ineficiente
136.17,False,4,Departamento,1.0,Eficiente
131.0,False,4,Casa,2.4,Eficiente
1076.17,False,6,Casa,8.6,Moderado
307.08,False,4,Departamento,2.6,Eficiente
1479.33,True,11,Casa,13.8,Ineficiente
595.92,False,8,Casa,7.4,Moderado
1673.25,True,17,Casa,16.0,Ineficiente
1222.33,True,8,Casa,9.7,Ineficiente
1344.08,True,11,Casa,12.0,Ineficiente
372.33,False,5,Casa,4.3,Moderado
3557.25,True,12,Casa,16.0,Ineficiente
1888.08,True,8,Departamento,14.5,Ineficiente
1190.58,True,3,Casa,8.7,Ineficiente
707.5,False,8,Departamento,6.0,Moderado
275.42,False,6,Casa,2.4,Eficiente
711.0,False,8,Casa,8.0,Moderado
970.75,True,9,Casa,10.5,Ineficiente
365.08,False,6,Departamento,4.2,Moderado
255.83,False,6,Departamento,4.5,Eficiente
783.17,True,7,Departamento,7.7,Moderado
1348.83,True,8,Casa,10.7,Ineficiente
551.5,False,5,Casa,5.5,Moderado
352.5,False,4,Departamento,5.1,Moderado
810.67,False,5,Casa,6.9,Moderado
171.5,False,7,Departamento,4.8,Eficiente
2255.58,True,15,Casa,16.0,Ineficiente
935.5,False,8,Casa,9.5,Ineficiente
372.92,True,6,Casa,4.4,Moderado
268.58,False,5,Departamento,3.0,Eficiente
570.17,False,7,Casa,6.0,Moderado
227.42,False,5,Departamento,1.0,Eficiente
275.25,False,5,Departamento,3.1,Eficiente
614.67,False,6,Departamento,6.3,Moderado
127.08,False,4,Departamento,3.5,Eficiente
1736.67,True,6,Departamento,12.9,Ineficiente
625.67,False,5,Departamento,4.9,Moderado
343.17,False,7,Casa,3.9,Eficiente
1295.17,True,10,Casa,12.5,Ineficiente
2239.67,True,15,Casa,16.0,Ineficiente
1552.33,True,11,Casa,13.1,Ineficiente
662.83,True,6,Casa,6.7,Moderado
560.58,False,5,Departamento,5.3,Moderado
218.67,False,4,Casa,3.6,Eficiente
615.25,False,11,Casa,6.7,Moderado
151.25,False,5,Departamento,2.2,Eficiente
1107.67,True,6,Casa,8.8,Ineficiente
454.42,True,7,Casa,3.7,Moderado
1353.33,True,10,Casa,12.3,Ineficiente
560.75,True,8,Departamento,6.4,Moderado
862.83,False,4,Casa,7.0,Moderado
403.92,True,8,Casa,4.9,Moderado
1546.92,True,15,Casa,13.4,Ineficiente
1903.0,True,8,Casa,14.7,Ineficiente
805.0,False,13,Casa,8.9,Moderado
345.67,False,8,Casa,3.9,Eficiente
1038.17,True,10,Casa,9.8,Ineficiente
230.92,False,6,Casa,3.7,Eficiente
