tipo_vivienda,metros_cuadrados,habitaciones,baños,antiguedad_vivienda,aislamiento,eficiencia_construccion,paneles_solares,cantidad_personas,trabajo_remoto,horas_en_casa,ingreso_mensual,aires_acondicionados,heladeras,televisores,computadoras,lavadoras,secadoras,cantidad_equipos,calefaccion,tipo_calefaccion,tipo_iluminacion,electrodomesticos_eficientes,factor_estacional,temperatura_media,consumo_kwh,uso_horario_pico,horas_alto_consumo,tarifa_kwh,costo_estimado,categoria
departamento,90.1,2,2,29.0,poor,b,0,2,0,8.0,1320.89,0,1,0,0,1,0,6,1,eléctrica,mixta,74.2,otoño,22.9,173.68,1,17,0.175,30.39,moderate
departamento,88.3,1,1,37.0,good,c,0,3,0,14.8,1661.13,1,2,2,2,1,0,10,1,gas,incandescente,73.6,verano,26.9,583.18,1,16,0.19,110.8,moderate
pequeño comercio,177.7,6,3,26.0,excellent,c,0,7,0,8.0,2725.46,4,2,6,6,0,0,24,1,eléctrica,mixta,66.2,primavera,20.7,494.45,1,19,0.173,85.54,efficient
casa,138.6,4,2,5.0,good,a,1,1,1,17.6,2598.16,2,1,1,1,1,0,11,1,eléctrica,led,71.4,otoño,19.3,109.56,1,20,0.201,22.02,efficient
departamento,57.7,1,1,16.0,good,b,0,1,1,13.9,1033.34,1,1,1,3,1,0,13,1,eléctrica,led,75.4,invierno,7.9,380.47,1,18,0.191,72.67,moderate
departamento,88.5,3,1,21.0,poor,d,0,1,0,11.0,1330.0,2,1,1,0,1,1,9,1,eléctrica,mixta,83.6,primavera,25.7,243.47,1,17,0.162,39.44,inefficient
departamento,70.5,1,1,57.0,poor,e,0,1,0,12.7,709.62,0,1,1,0,1,0,8,0,ninguna,incandescente,71.2,primavera,22.8,268.0,1,18,0.171,45.83,inefficient
departamento,62.1,1,1,45.0,good,e,0,2,1,21.2,917.84,0,1,3,3,1,0,11,1,gas,mixta,60.3,primavera,25.7,575.19,1,21,0.193,111.01,inefficient
casa,166.8,5,5,20.0,good,d,0,5,0,20.3,3889.14,4,1,3,1,1,0,15,1,eléctrica,led,79.7,primavera,21.9,709.22,1,17,0.203,143.97,efficient
casa,92.3,2,3,21.0,poor,a,0,1,1,20.0,723.84,0,1,2,3,1,0,14,0,ninguna,mixta,63.6,verano,30.8,521.22,1,18,0.177,92.26,inefficient
departamento,96.5,2,2,41.0,average,e,0,3,0,9.9,497.6,0,1,6,7,1,0,19,1,gas,led,50.1,verano,26.8,258.48,1,18,0.161,41.62,moderate
departamento,56.0,2,1,17.0,average,b,0,4,1,19.3,549.18,0,1,5,1,1,0,11,1,eléctrica,mixta,71.3,invierno,11.6,792.95,1,19,0.22,174.45,moderate
pequeño comercio,69.4,4,2,45.0,excellent,d,0,7,0,14.5,1161.27,1,3,8,7,0,0,22,1,gas,led,54.3,primavera,12.0,420.55,1,20,0.171,71.91,efficient
casa,69.0,1,1,35.0,excellent,d,1,4,0,8.9,1330.0,1,1,1,1,1,0,9,1,gas,led,60.0,primavera,16.2,103.39,1,20,0.189,19.54,efficient
casa,123.0,2,1,28.0,good,b,0,3,0,15.7,3400.11,2,1,1,3,1,1,11,1,eléctrica,mixta,44.8,otoño,16.8,546.1,1,19,0.176,96.11,efficient
departamento,60.2,1,1,8.0,good,b,0,1,0,11.9,520.7,2,1,0,0,1,0,10,1,eléctrica,mixta,65.1,verano,35.0,411.94,1,16,0.203,83.62,moderate
departamento,101.9,3,1,43.0,poor,e,0,2,0,11.7,1400.4,0,1,3,1,1,0,13,0,ninguna,led,70.2,verano,29.5,212.74,1,21,0.185,39.36,moderate
departamento,57.9,3,5,45.0,average,e,0,3,0,13.5,2462.48,4,1,1,1,1,0,12,1,gas,led,38.5,otoño,13.7,292.4,1,21,0.162,47.37,moderate
departamento,52.6,1,3,38.0,good,c,0,2,0,14.8,287.37,1,1,2,0,1,0,12,0,ninguna,mixta,62.2,verano,28.3,532.73,1,16,0.153,81.51,moderate
departamento,56.9,1,2,47.0,excellent,a,0,1,0,8.5,1462.06,1,1,0,2,1,0,10,1,gas,mixta,56.7,otoño,20.4,201.37,1,18,0.189,38.06,efficient
departamento,45.6,2,3,54.0,average,e,0,1,1,16.1,964.52,1,2,2,4,1,0,17,1,gas,mixta,66.6,otoño,21.3,469.55,1,22,0.221,103.77,inefficient
departamento,61.5,2,3,30.0,poor,e,0,1,1,22.4,1245.1,1,2,0,2,1,0,11,1,eléctrica,mixta,58.4,otoño,14.8,412.89,1,21,0.165,68.13,inefficient
casa,199.6,4,4,16.0,good,c,0,3,1,20.1,3118.31,1,1,0,5,1,0,14,1,eléctrica,incandescente,63.3,otoño,18.4,1033.89,1,17,0.181,187.13,inefficient
departamento,69.7,4,4,30.0,poor,d,0,1,1,21.2,1317.57,0,1,1,2,1,0,6,1,eléctrica,mixta,71.7,primavera,20.1,260.01,1,19,0.186,48.36,inefficient
departamento,59.2,1,1,27.0,good,c,0,3,0,8.6,2062.98,2,2,3,2,1,1,17,0,ninguna,led,78.4,verano,24.1,366.86,1,19,0.162,59.43,efficient
casa,140.5,2,2,41.0,average,a,0,4,0,12.6,2158.5,2,2,2,2,1,0,14,1,gas,led,77.4,primavera,18.8,317.82,1,16,0.146,46.4,efficient
departamento,107.6,2,1,35.0,excellent,e,0,2,0,16.0,652.42,0,1,1,1,1,0,6,1,gas,mixta,56.6,otoño,15.0,375.07,1,18,0.188,70.51,moderate
casa,119.2,1,1,24.0,excellent,a,0,1,1,13.9,696.77,1,1,0,1,1,0,11,1,eléctrica,mixta,72.8,primavera,16.6,436.03,1,20,0.161,70.2,efficient
